"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"0.1uF";"CAP_THCAP-TH-2MM";"CAPPRD254W65D300H300B";"C1, C5";"Capacitor Electro. TH";"";
"1";"1.35k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"R3";"Resistor TH";"";
"1";"10k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"R2";"Resistor TH";"";
"1";"30k";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"R1";"Resistor TH";"";
"6";"33";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"R8, R9, R10, R11, R12, R13";"Resistor TH";"";
"4";"330";"RES_THRES-D8.5";"RESAD1176W63L850D250B";"R4, R5, R6, R7";"Resistor TH";"";
"3";"47uF";"CAP_THCAP-ELECTRO-5.08";"CAPPRD508W65D1000H1100B";"C2, C3, C4";"Capacitor Electro. TH";"";
"1";"ADA_GPS";"ADA_ULTIMATE_GPS9P_BREAKOUT";"ADA_ULTIMATE_GPS";"U3";"Ultimate GPS from Adafruit - Breakout";"";
"1";"DS3231_MODULE";"DS3231_MODULE";"DS3231_MODULE";"IC1";"DS3231 RTC Breakout Module";"";
"1";"HDR2X7";"HDR2X7HDR2X7";"HDR2X7";"J2";"";"";
"1";"JST-XH";"HDR1X4JST-XH";"HDR1X4";"J1";"HEADER 1x4";"";
"4";"LED_THLED-2.54";"LED_THLED-2.54";"LEDRD254W60D565H860B";"D1, D2, D3, D4";"TH LED - large";"";
"1";"MICRO_SD";"MICRO_SD_SNIFFER";"MICRO_SD_SDIO";"IC3";"SparkFun microSD sniffer - breaks out SDIO interface";"";
"1";"MICRO_SD_1BIT";"MICRO_SD";"MICRO_SD_SDIO1B";"IC4";"Sparkfun microSD Breakout - SPI/SDIO 1bit accessible";"";
"1";"OKX-T/5-D123";"OKX-T/5-D123DMODEL";"OKX-T/5-D12";"IC2";"OKX-T/5-D12 by Murata Inc. - Monolithic DC/DC Converter";"";
"1";"PI_ZERO";"PI_ZERO";"PI_ZERO_W";"U2";"Pi Zero W";"";
"1";"PRO_MINI";"PRO_MINI";"PRO_MINI";"U1";"Arduino Pro Mini from SparkFun 3.3V";"";
